,Chapter,Verse,Eknath Easwaran,Mahatma Gandhi,Shri Swami Purohit,Easwaran - Gandhi,Gandhi - Purohit,Purohit - Easwaran
41,3,42,"The senses are higher than the body, the mind higher than the senses; above the mind is the intellect, and above the intellect is the Atman. ","  Subtle, they say, are the senses; subtler than the senses is the mind; subtler  than the mind is the reason; but subtler even than the reason is He.     "," It is said that the senses are powerful. But beyond the senses is the mind, beyond the mind is the intellect, and beyond and greater than intellect is He. ",0.553931474685669,0.5970021486282349,0.7960683703422546
46,5,4," The immature think that knowledge and action are different, but the wise see them as the same. The person who is established in one path will attain the rewards of both. ","  It is the ignorant who speak of sankhya and yoga as different, not so those  who have knowledge. He who is rightly established even in one wins to the  fruit of both.   "," Only the unenlightened speak of wisdom and right action as separate, not the wise. If any man knows one, he enjoys the fruit of both. ",0.4209546446800232,0.34536731243133545,0.7313917279243469
47,5,5, The goal of knowledge and the goal of service are the same; those who fail to see this are blind. ,  The goal that the sankhyas attain is also reached by the yogins. He sees truly  who sees both sankhya and yoga as one.   ," The level which is reached by wisdom is attained through right action as well. He who perceives that the two are one, knows the truth. ",0.2954513728618622,0.3385375440120697,0.5173734426498413
49,5,7," Those who follow the path of service, who have completely purified themselves and conquered their senses and self-will, see the Self in all creatures and are untouched by any action they perform. ","  The yogi who has cleared himself, has gained mastery over his mind and all  his senses, who has become one with the soul in all creation, although he acts  he remains unaffected.   "," He who is spiritual, who is pure, who has overcome his senses and his personal self, who has realised his highest Self as the Self of all, such a one, even though he acts, is not bound by his acts. ",0.529484212398529,0.5528186559677124,0.6888785362243652
53,5,11," Renouncing their selfish attachments, those who follow the path of service work with body, senses, and mind for the sake of self-purification. ","  Only with the body, mind and intellect and also with the senses, do the  yogins perform action without attachment for the sake of self-purification.   "," The sage performs his action dispassionately, using his body, mind and intellect, and even his senses, always as a means of purification. ",0.5285201072692871,0.47035878896713257,0.5142741203308105
62,5,20," They are not elated by good fortune nor depressed by bad. With mind established in Brahman, they are free from delusion. ","  He whose understanding is secure, who is undeluded, who knows Brahman  and who rests in Brahman, will neither be glad to get what is pleasant, nor sad  to get what is unpleasant.   ", He who knows and lives in the Absolute remains unmoved and unperturbed; he is not elated by pleasure or depressed by pain. ,0.5930463075637817,0.6718509793281555,0.520959734916687
63,5,21," Not dependent on any external support, they realize the joy of spiritual awareness. With consciousness unified through meditation, they live in abiding joy. ","  He who has detached himself from contacts without, finds bliss in soul;  having achieved union with Brahman he enjoys eternal bliss.   "," He finds happiness in his own Self, and enjoys eternal bliss, whose heart does not yearn for the contacts of earth and whose Self is one with the Everlasting. ",0.593043863773346,0.685969889163971,0.591766357421875
65,5,23, But those who overcome the impulses of lust and anger which arise in the body are made whole and live in joy. ,"  The man who is able even here on earth, before he is released from the body, to  hold out against the floodtide of lust and wrath,—he is a yogi, he is happy.   "," He who, before he leaves his body, learns to surmount the promptings of desire and anger is a saint and is happy. ",0.49112120270729065,0.6027565002441406,0.6595821380615234
66,5,24," They find their joy, their rest, and their light completely within themselves. United with the Lord, they attain nirvana in Brahman. ","  He who finds happiness only within, rest only within, light only  within,—that yogi, having become one with nature, attains to oneness with  Brahman.   "," He who is happy within his Self and has found Its peace, and in whom the inner light shines, that sage attains Eternal Bliss and becomes the Spirit Itself. ",0.5862545967102051,0.7029829621315002,0.6263357400894165
68,5,26," Free from anger and selfish desire, unified in mind, those who follow the path of yoga and realize the Self are established forever in that supreme state. ","  Rid of lust and wrath, masters of themselves, the ascetics who have realized  soul find oneness with Brahman everywhere around them.   "," Saints who know their Selves, who control their minds, and feel neither desire nor anger, find Eternal Bliss everywhere. ",0.5393256545066833,0.6058749556541443,0.5460169315338135
69,5,27," Closing their eyes, steadying their breathing, and focusing their attention on the center of spiritual consciousness, ","  That ascetic is ever free—who, having shut out the outward  sense-contacts, sits with his gaze fixed between the brows, outward and inward  breathing in the nostrils made equal; his senses, mind, and reason held in check;  rid of longing, fear and wrath; and intent on Freedom.   "," Excluding external objects, his gaze fixed between the eyebrows, the inward and outward breathings passing equally through his nostrils; ",0.42860162258148193,0.5372354984283447,0.4756622016429901
70,5,28," the wise master their senses, mind, and intellect through meditation. Self-realization is their only goal. Freed from selfish desire, fear, and anger, they live in freedom always. ","  That ascetic is ever free—who, having shut out the outward  sense-contacts, sits with his gaze fixed between the brows, outward and inward  breathing in the nostrils made equal; his senses, mind, and reason held in check;  rid of longing, fear and wrath; and intent on Freedom.  "," Governing sense, mind and intellect, intent on liberation, free from desire, fear and anger, the sage is forever free. ",0.5030795335769653,0.6214492321014404,0.6882277131080627
73,7,2," I will give you both jnana and vijnana. When both these are realized, there is nothing more you need to know. ","  I will declare to you, in its entirety, this knowledge, combined with  discriminative knowledge, which when you have known there remains here  nothing more to be known.   "," I will reveal to this knowledge unto you, and how it may be realised; which, once accomplished, there remains nothing else worth having in this life. ",0.2650721073150635,0.5544911623001099,0.39023491740226746
77,7,6,  In these two aspects of my nature is the womb of all creation. The birth and dissolution of the cosmos itself take place in me. ,  Know that these two compose the source from which all beings spring; I am  the origin and end of the entire universe.   , It is the womb of all being; for I am He by Whom the worlds were created and shall be dissolved. ,0.5953058004379272,0.3682987093925476,0.7068792581558228
86,7,15," Others are deluded by maya; performing evil deeds, they have no devotion to me. Having lost all discrimination, they follow the way of their lower nature. ","  The deluded evil-doers, lowest of men, do not see refuge in Me; for, by  reason of this delusive mystery, they are bereft of knowledge and given to  devilish ways.   "," The sinner, the ignorant, the vile, deprived of spiritual perception by the glamour of Illusion, and he who pursues a godless life – none of them shall find Me. ",0.5473412275314331,0.6594306230545044,0.4660520553588867
87,7,16,"  Good people come to worship me for different reasons. Some come to the spiritual life because of suffering, some in order to understand life; some come through a desire to achieve lifes purpose, and some come who are men and women of wisdom. ","  Four types of well-doers are devoted to Me, O Arjuna; they are, O  Arjuna, the afflicted, the spiritual seeker, the material seeker, and the  enlightened.   "," O Arjuna! The righteous who worship Me are grouped by stages: first, they who suffer, next they who desire knowledge, then they who thirst after truth, and lastly they who attain wisdom. ",0.37011411786079407,0.641632616519928,0.5116114616394043
89,7,18," All those who follow the spiritual path are blessed. But the wise who are always established in union, for whom there is no higher goal than me, may be regarded as my very Self. ","  All these are estimable indeed, but the enlightened I hold to be My very self;  for he, the true yogi, is stayed on Me alone, the supreme goal.   "," Noble-minded are they all, but the wise man I hold as my own Self; for he, remaining always at peace with Me, makes me his final goal. ",0.5325568914413452,0.510008692741394,0.6372290849685669
91,7,20," There are others whose discrimination is misled by many desires. Following their own nature, they worship lower gods, practicing various rites. ","  Men, bereft of knowledge by reason of various longings, seek refuge in  other gods, pinning their faith on diverse rites, guided by their own nature.   "," They in whom wisdom is obscured by one desire or the other, worship the lesser Powers, practising many rites which vary according to their temperaments. ",0.5924851894378662,0.6571817398071289,0.6921965479850769
107,8,6, Whatever occupies the mind at the time of death determines the destination of the dying; always they will tend toward that state of being. ,"  Or whatever form a man continually contemplates, that same he remembers  in the hour of death, and to that very form he goes, O Arjuna.   "," On whatever sphere of being the mind of a man may be intent at the time of death, towards that place he will go. ",0.4902712404727936,0.5141817927360535,0.8073205947875977
109,8,8," When you make your mind one-pointed through regular practice of meditation, you will find the supreme glory of the Lord. ","  With thought steadied by constant practice, and wandering nowhere, he who  meditates on the Supreme Celestial Being, O Arjuna, goes to Him.   "," He whose mind does not wander, and who is engaged in constant meditation, attains the Supreme Spirit. ",0.5983482599258423,0.6379812955856323,0.6553311347961426
110,8,9," The Lord is the supreme poet, the first cause, the sovereign ruler, subtler than the tiniest particle, the support of all, inconceivable, bright as the sun, beyond darkness. ","  Whoso, at the time of death, with unwavering mind, with devotion, and  fixing the breath rightly between the brows by the power of yoga, meditates on  the Sage, the Ancient, the Ruler, subtler than the subtlest, the Supporter of all,  the Inconceivable, glorious as the sun beyond the darkness,—he goes to that  Supreme Celestial Being.   "," Whoso meditates on the Omniscient, the Ancient, more minute than the atom, yet the Ruler and Upholder of all, Unimaginable, Brilliant like the Sun, Beyond the reach of darkness; ",0.45513617992401123,0.7430934309959412,0.6577037572860718
111,8,10," Remembering him in this way at the time of death, through devotion and the power of meditation, with your mind completely stilled and your concentration fixed in the center of spiritual awareness between the eyebrows, you will realize the supreme Lord. ","  Whoso, at the time of death, with unwavering mind, with devotion, and  fixing the breath rightly between the brows by the power of yoga, meditates on  the Sage, the Ancient, the Ruler, subtler than the subtlest, the Supporter of all,  the Inconceivable, glorious as the sun beyond the darkness,—he goes to that  Supreme Celestial Being.  "," He who leaves the body with mind unmoved and filled with devotion, by the power of his meditation gathering between his eyebrows his whole vital energy, attains the Supreme. ",0.5879020690917969,0.6148585081100464,0.7196542024612427
112,8,11," I will tell you briefly of the eternal state all scriptures affirm, which can be entered only by those who are self-controlled and free from selfish passions. Those whose lives are dedicated to Brahman attain this supreme goal. ","  That which the knowers of the Vedas call the Imperishable (or that word  which the knowers of the Vedas repeat), wherein the ascetics freed from  passion enter and desiring which they practice brahmacharya, that Goal (or  Word) I will declare to you in brief.   "," Now I will speak briefly of the imperishable goal, proclaimed by those versed in the scriptures, which the mystic attains when free from passion, and for which he is content to undergo the vow of continence. ",0.491430401802063,0.6969766616821289,0.5080039501190186
113,8,12,"  Remembering me at the time of death, close down the doors of the senses and place the mind in the heart. Then, while absorbed in meditation, focus all energy upwards to the head. ","  Closing all the gates, locking up the mind in the hridaya, fixing his breath  within the head, carried in yogic meditation;   "," Closing the gates of the body, drawing the forces of his mind into the heart and by the power of meditation concentrating his vital energy in the brain; ",0.5610804557800293,0.8409070372581482,0.523941695690155
121,8,20," But beyond this formless state there is another, unmanifested reality, which is eternal and is not dissolved when the cosmos is destroyed. ","  But higher than the Unmanifest is another Unmanifest Being, everlasting,  which perishes not when all creatures perish.   "," In truth, therefore, there is the Eternal Unmanifest, which is beyond and above the Unmanifest Spirit of Creation, which is never destroyed when all these being perish. ",0.5280018448829651,0.7766261696815491,0.667804479598999
124,8,23," There are two paths, Arjuna, which the soul may follow at the time of death. One leads to rebirth and the other to liberation. ","  Now I will tell you, Arjuna, the conditions which determine the  exemption from return, as also the return, of yogins after they pass away hence.   "," Now I will tell you, O Arjuna, of the times at which, if the mystics go forth, they do not return, and at which they go forth only to return. ",0.44598937034606934,0.5345722436904907,0.5765037536621094
129,8,28," There is merit in studying the scriptures, in selfless service, austerity, and giving, but the practice of meditation carries you beyond all these to the supreme abode of the highest Lord. ","  Whatever fruit of good deeds is laid down as accruing from (a study of) the  Vedas, from sacrifices, austerities, and acts of charity—all that the yogin  transcends, on knowing this, and reaches the Supreme and Primal Abode."," The sage who knows this passes beyond all merit that comes from the study of the scriptures, from sacrifice, from austerities and charity, and reaches the Supreme Primeval Abode.” ",0.49709391593933105,0.6123768091201782,0.6314128637313843
130,9,1," KRISHNA:  Because of your faith, I shall tell you the most profound of secrets: obtaining both jnana and vijnana, you will be free from all evil. ","  I will now declare to you, who are uncensorious, this mysterious knowledge,  together with discriminative knowledge, knowing which you shall be released  from ill.   ","“Lord Shri Krishna said: I will now reveal to you, since you doubt not, that profound mysticism, which when followed by experience, shall liberate you from sin. ",0.433050274848938,0.5213139057159424,0.7231442928314209
131,9,2," This royal knowledge, this royal secret, is the greatest purifier. Righteous and imperishable, it is a joy to practice and can be directly experienced. ","  This is the king of sciences, the king of mysteries, pure and sovereign, capable  of direct comprehension, the essence of dharma, easy to practice, changeless.   "," This is the Premier Science, the Sovereign Secret, the Purest and Best; intuitional, righteous; and to him who practises it pleasant beyond measure. ",0.4947364926338196,0.6094813942909241,0.6195635795593262
135,9,6, They move in me as the winds move in every direction in space. ,"  As the mighty wind, moving everywhere, is ever contained in ether, even so  know that all beings are contained in Me.   "," As the mighty wind, though moving everywhere, has no resting place but space, so have all these beings no home but Me. ",0.586822509765625,0.7468084692955017,0.6397995352745056
136,9,7,  At the end of the eon these creatures return to unmanifested matter; at the beginning of the next cycle I send them forth again. ,"  All beings, O Arjuna, merge into my prakriti, at the end of a kalpa, and I  send them forth again when a kalpa begins.   "," All beings, O Arjuna, return at the close of every cosmic cycle into the realm of Nature, which is a part of Me, and at the beginning of the next I send them forth again. ",0.4196573793888092,0.7593824863433838,0.620566725730896
139,9,10,  Under my watchful eye the laws of nature take their course. Thus is the world set in motion; thus the animate and the inanimate are created. ,"  With me as Presiding Witness, prakriti gives birth to all that moves and does  not move; and because of this, O Arjuna, the wheel of the world keeps going.   "," Under my guidance, Nature produces all things movable and immovable. Thus it is, O Arjuna, that this universe revolves. ",0.5986734628677368,0.7230262160301208,0.6134397983551025
140,9,11, The immature do not look beyond physical appearances to see my true nature as the Lord of all creation. ,"  Not knowing My transcendent nature as the sovereign Lord of all beings,  fools condemn Me incarnated as man.   "," Fools disregard Me, seeing Me clad in human form. They know not that in My higher nature I am the Lord-God of all. ",0.5724005699157715,0.7172074913978577,0.6294017434120178
144,9,15,"  Others follow the path of jnana, spiritual wisdom. They see that where there is One, that One is me; where there are many, all are me; they see my face everywhere. ","  Yet others, with knowledge-sacrifice, worship Me, who am to be seen  everywhere, as one, as different or as many.   "," Others worship Me with full consciousness as the One, the Manifold, the Omnipresent, the Universal. ",0.5989410877227783,0.7815873622894287,0.5297514200210571
151,9,22,"  Those who worship me and meditate on me constantly, without any other thought  I will provide for all their needs. ","  As for those who worship Me, thinking on Me alone and nothing else, ever  attached to Me, I bear the burden of getting them what they need.   "," But if a man will meditate on Me and Me alone, and will worship Me always and everywhere, I will take upon Myself the fulfillment of his aspiration, and I will safeguard whatsoever he shall attain. ",0.5711710453033447,0.5273999571800232,0.5283277630805969
157,9,28," In this way you will be freed from the bondage of karma, and from its results both pleasant and painful. Then, firm in renunciation and yoga, with your heart free, you will come to me. ","  So doing you shall be released from the bondage of action, yielding good  and evil fruit; having accomplished both renunciation and performance, you  shall be released (from birth and death) and come unto Me.   "," So shall your action be attended by no result, either good or bad; but through the spirit of renunciation you shall come to Me and be free. ",0.5316751003265381,0.8084300756454468,0.595737099647522
159,9,30,  Even sinners become holy when they take refuge in me alone. ,"  A sinner, howsoever great, if he turns to Me with undivided devotion, must  indeed be counted a saint; for he has a settled resolve.   "," Even the most sinful, if he worship Me with his whole heart, shall be considered righteous, for he is treading the right path. ",0.5964510440826416,0.6763440370559692,0.6519659757614136
162,9,33," Kings and sages too seek this goal with devotion. Therefore, having been born in this transient and forlorn world, give all your love to me. ","  How much more then, the pure brahmanas and seer-kings who are my  devotees? Do you worship Me, therefore, since you have come to this fleeting  and joyless world.   "," What need then to mention the holy Ministers of God, the devotees and the saintly rulers? Do you, therefore, born in this changing and miserable world, do you too worship Me. ",0.535308837890625,0.671716570854187,0.544987678527832
170,10,7, Whoever understands my power and the mystery of my manifestations comes without doubt to be united with me. ,  He who knows in truth My immanence and My yoga becomes gifted with  unshakable yoga; of this there is no doubt.   ," He who rightly understands My manifested glory and My Creative Power, beyond doubt attains perfect peace. ",0.5216304659843445,0.5494459867477417,0.7198436260223389
179,10,16,"  Tell me all your divine attributes, leaving nothing unsaid. Tell me of the glories with which you fill the cosmos. ","  Indeed You ought to tell me of all Your manifestations, without a  remainder, whereby You do pervade the worlds.   "," Please tell me all about Your glorious manifestations, by means of which You pervade the world. ",0.5342092514038086,0.8047221899032593,0.6333267688751221
206,11,1, ARJUNA:  Out of compassion you have taught me the supreme mystery of the Self. Through your words my delusion is gone. ,"  Out of Your grace towards me, you have told me the supreme mystery  revealing the knowledge of the Supreme; it has banished my delusion.   ","“Arjuna said: My Lord! Your words concerning the Supreme Secret of Self, given for my blessing, have dispelled the illusions which surrounded me. ",0.5778163075447083,0.5694736838340759,0.8415625095367432
209,11,4," O Lord, master of yoga, if you think me strong enough to behold it, show me your immortal Self. ","  If, Lord, you thinks it possible for me to bear the sight, reveal to me, O  Krishna, Your imperishable form.  The Lord Said:   "," If You think that it can be made possible for me to see it, show me, O Lord of Lords, Yours own Eternal Self. ",0.5723629593849182,0.5823149681091309,0.5298098921775818
211,11,6," Behold the gods of the natural world, and many more wonders never revealed before. ","  Behold the Adityas, the Vasus, the Rudras, the two Ashwins, the Maruts;  behold, O Arjuna, numerous marvels never revealed before.   "," Behold you the Powers of Nature: fire, earth, wind and sky; the sun, the heavens, the moon, the stars; all forces of vitality and of healing; and the roving winds. See the myriad wonders revealed to none but you. ",0.5943073630332947,0.4473170042037964,0.668420672416687
213,11,8,  But these things cannot be seen with your physical eyes; therefore I give you spiritual vision to perceive my majestic power. ,  But you can not see Me with these yours own eyes. I give you the eye  divine; behold My sovereign power!  Sanjaya Said:   ," Yet since with mortal eyes you can not see Me, lo! I give you the Divine Sight. See now the glory of My Sovereignty.” ",0.5455938577651978,0.6661463975906372,0.7289841175079346
226,11,21,"  The gods enter your being, some calling out and greeting you in fear. Great saints sing your glory, praying, May all be well! ","  Here, too, the multitudes of gods are seen to enter You; some awe-struck  praise You with folded arms; the hosts of great seers and siddhas, ‘All Hail' on  their lips, hymn You with songs of praise.   "," The troops of celestial beings enter into You, some invoking You in fear, with folded palms; the Great Seers and Adepts sing hymns to Your Glory, saying `All Hail.’ ",0.599125862121582,0.8096247911453247,0.668107271194458
237,11,32,"  KRISHNA:  I am time, the destroyer of all; I have come to consume the world. Even without your participation, all the warriors gathered here will die. ","  Doom am I, full-ripe, dealing death to the worlds, engaged in devouring  mankind. Even without slaying them not one of the warriors, ranged for battle  against you, shall survive.   "," Lord Shri Krishna replied: I have shown myself to you as the Destroyer who lays waste the world and whose purpose is destruction. In spite of your efforts, all these warriors gathered for battle shall not escape death. ",0.5093691349029541,0.5554426908493042,0.7696746587753296
249,11,44," O gracious Lord, I prostrate myself before you and ask for your blessing. As a father forgives his son, or a friend a friend, or a lover his beloved, so should you forgive me. ","  Therefore, I prostrate myself before You, and beseech Your grace, O Lord  adorable! As father with son, as comrade with comrade, so should You bear,  beloved Lord, with me, Your loved one.   "," Therefore I prostrate myself before You, O Lord! Most Adorable! I salute You, I ask Your blessing. Only You can be trusted to bear with me, as father to son, as friend to friend, as lover to his beloved. ",0.4967782497406006,0.8542466163635254,0.6265047192573547
250,11,45,"  I rejoice in seeing you as you have never been seen before, yet I am filled with fear by this vision of you as the abode of the universe. Please let me see you again as the shining God of gods. ","  I am filled with joy to see what never was seen before, and yet my heart is  oppressed with fear. Show me that original form of Yours, O Lord! Be gracious,  Krishna, O Krishna!    "," I rejoice that I have seen what never man saw before; yet, O Lord! I am overwhelmed with fear. Please take again the Form I know. Be merciful, O Lord! you Who are the Home of the whole universe. ",0.5976786613464355,0.6978994607925415,0.703661322593689
251,11,46," Though you are the embodiment of all creation, let me see you again not with a thousand arms but with four, carrying the mace and discus and wearing a crown. ","  I crave to see You even as You were, with crown, with mace, and disc in  hand; wear You, once more, that four-armed form, O thousand-armed  Krishna!  The Lord Said:   "," I long to see You as you were before, with the crown, the sceptre and the discus in Your hands; in Your other Form, with Your four hands, O You Whose arms are countless and Whose forms are infinite. ",0.5800554752349854,0.5835762023925781,0.7496162056922913
256,11,51," ARJUNA:  O Krishna, now that I have seen your gentle human form my mind is again composed and returned to normal. ",  Beholding again your benign human form I am come to myself and once  more in my normal state.  The Lord Said:   ," Arjuna said: Seeing You in Your gentle human form, my Lord, I am myself again, calm once more. ",0.565951943397522,0.6625585556030273,0.8325133323669434
257,11,52,  KRISHNA:  It is extremely difficult to obtain the vision you have had; even the gods long always to see me in this aspect. ,  Very hard to behold is that form of Mine which you have seen; even the  gods always yearn to see it.   , Lord Shri Krishna replied: It is hard to see this vision of Me that you have seen. Even the most powerful have longed for it in vain. ,0.5788235664367676,0.6118823885917664,0.8298342227935791
260,11,55," Those who make me the supreme goal of all their work and act without selfish attachment, who devote themselves to me completely and are free from ill will for any creature, enter into me.  ","  He alone comes to me, O Arjuna, who does My work, who has made Me  his goal, who is My devotee, who has renounced attachment, who has ill-will  toward none. "," He whose every action is done for My sake, to whom I am the final goal, who loves Me only and hates no one – O My dearest son, only he can realize Me!” ",0.5765219330787659,0.6271985769271851,0.659514844417572
261,12,1," ARJUNA  Of those steadfast devotees who love you and those who seek you as the eternal formless Reality, who are the more established in yoga? ","  Of the devotees who thus worship You, incessantly attached, and those who  worship the Imperishable Unmanifest, which are the better yogins?  The Lord Said:   ","“Arjuna asked: My Lord! Which are the better devotees who worship You, those who try to know You as a Personal God, or those who worship You as Impersonal and Indestructible? ",0.41434571146965027,0.58869469165802,0.5737317204475403
262,12,2,  KRISHNA:  Those who set their hearts on me and worship me with unfailing devotion and faith are more established in yoga. ,"  Those I regard as the best yogins who, riveting their minds on Me, ever  attached, worship Me, with the highest faith.   "," Lord Shri Krishna replied: Those who keep their minds fixed on Me, who worship Me always with unwavering faith and concentration; these are the very best. ",0.4900243878364563,0.5754059553146362,0.6627162098884583
263,12,3,"  As for those who seek the transcendental Reality, without name, without form, contemplating the Unmanifested, beyond the reach of thought and of feeling, ","  But those who worship the Imperishable, the indefinable, the Unmanifest, the  Omnipresent, the Unthinkable, the Rock-seated, the Immovable, the  Unchanging,   "," Those who worship Me as the Indestructible, the Undefinable, the Omnipresent, the Unthinkable, the Primeval, the Immutable and the Eternal; ",0.5789165496826172,0.8255949020385742,0.4877817630767822
264,12,4," with their senses subdued and mind serene and striving for the good of all beings, they too will verily come unto me. ","  Keeping the whole host of senses in complete control, looking on all with an  impartial eye, engrossed in the welfare of all beings—these come indeed to Me.   "," Subduing their senses, viewing all conditions of life with the same eye, and working for the welfare of all beings, assuredly they come to Me. ",0.5328192710876465,0.6190022826194763,0.7421075105667114
