,verse
18,"  That terrifying tumult, causing earth and heaven to resound, rent the hearts of Dhritarashtra's sons.   "
19,"  Then, O King, the ape-bannered Arjuna, seeing Dhritarashtra's sons arrayed and flight of arrows about to begin, took up his bow, and spoke thus to Krishna: ""Set my chariot between the two armies, O Krishna!""  "
20,"  Then, O King, the ape-bannered Arjuna, seeing Dhritarashtra's sons arrayed and flight of arrows about to begin, took up his bow, and spoke thus to Krishna: ""Set my chariot between the two armies, O Krishna!""   "
21,"  That I may behold them drawn up, on battle intent, and know whom I have to engage in this fearful combat;   "
22,  And that I may survey the fighters assembled here anxious to fulfil in battle perverse Duryodhana's desire. Sanjaya Said:   
23,"  Thus addressed by Arjuna, O King, Krishna set the unique  chariot between the two armies in front of Bhishma, Drona and all the kings  and said: Behold, O Arjuna, the Kurus assembled yonder.   "
24,"  Thus addressed by Arjuna, O King, Krishna set the unique  chariot between the two armies in front of Bhishma, Drona and all the kings  and said: Behold, O Arjuna, the Kurus assembled yonder.  "
25,"  Then did Arjuna see, standing there, sires, grandsires, preceptors, uncles,  brothers, sons, grandsons, comrades, fathers-in-law and friends in both armies.  Beholding all these kinsmen ranged before him, Arjuna was overcome with  great compassion and spoke thus in anguish:  Arjuna Said:   "
26,"  Then did Arjuna see, standing there, sires, grandsires, preceptors, uncles,  brothers, sons, grandsons, comrades, fathers-in-law and friends in both armies.  Beholding all these kinsmen ranged before him, Arjuna was overcome with  great compassion and spoke thus in anguish:  Arjuna Said:  "
27,"  Then did Arjuna see, standing there, sires, grandsires, preceptors, uncles,  brothers, sons, grandsons, comrades, fathers-in-law and friends in both armies.  Beholding all these kinsmen ranged before him, Arjuna was overcome with  great compassion and spoke thus in anguish:  Arjuna Said:  "
28,"  As I look upon these kinsmen, O Krishna, assembled here eager to fight,  my limbs fail, my mouth is parched, a tremor shakes my frame and my hair  stands on end.  "
29,"  As I look upon these kinsmen, O Krishna, assembled here eager to fight,  my limbs fail, my mouth is parched, a tremor shakes my frame and my hair  stands on end.   "
30,"  Gandiva slips from my hand, my skin is on fire, I cannot keep my feet, and  my mind reels.   "
31,"  I have unhappy forebodings, O Krishna; and I see no good in slaying  kinsmen in battle.   "
32,"  I seek not victory, nor sovereign power, nor earthly joys. What good are  sovereign power, worldly pleasures and even life to us, O Krishna?      "
33,"  Those for whom we would desire sovereign power, earthly joys and  delights are here arrayed in battle, having renounced life and wealth- "
34,"  Preceptors, sires, grandsires, sons and even  fathers-in-law, brothers-in-law, and other kinsmen.   grandsons,   uncles,    "
35,"  These I would not kill, O Krishna, even though they slay me, not even  for kingship of the three worlds, much less for an earthly kingdom.   "
36,"  What pleasure can there be in slaying these sons of Dhritarashtra, O  Krishna? Sin only can be our lot, if we slay these, usurpers though they be.   "
37,"  It does not therefore behove us to kill our kinsmen, these sons of  Dhritarashtra. How may we be happy, O Krishna, in killing our own kins?   "
38,"  Even though these, their wits warped by greed, see not the guilt that lies in  destroying the family, nor the sin of treachery to comrades;   "
39,"  How can we, O Krishna, help recoiling from this sin, seeing clearly as we  do the guilt that lies in such destruction?   "
40,"  With the destruction of the family perish the eternal family virtues, and with  the perishing of these virtues unrighteousness seizes the whole family.   "
41,"  When unrighteousness prevails, O Krishna, the women of the family  become corrupt, and their corruption, O Krishna, causes a confusion of  varnas.   "
42,"  This confusion verily drags the family-slayer, as well as the family, to hell,  and for want of obsequial offerings and rites their departed sires fall from  blessedness.   "
43,"  By the sins of these family-slayers resulting in confusion of varnas, the  eternal tribal and family virtues are brought to nothing.   "
44,"  For we have had it handed down to us, O Krishna, that the men whose  family virtues have been ruined are doomed to dwell in hell.   "
45,"  Alas! What a heinous sin we are about to commit, in that, from greed of the  joy of sovereign power, we are prepared to slay our kith and kin!   "
46,"  Happier far would it be for me if Dhritarashtra's sons, weapons in hand,  should strike me down on the battlefield, unresisting and unarmed.  Sanjaya Said:     "
47,"  Thus spoke Arjuna on the field of battle, and dropping his bow and arrows  sank down on his seat in the chariot, overwhelmed with anguish."
